    94             DTL_RF:Cav02:Rg30     11.23431     15.670  
    95             DTL_RF:Cav02:Rg31     11.36869     16.027  
    96             DTL_RF:Cav02:Rg32     11.50454     16.390  
    97             DTL_RF:Cav02:Rg33     11.64186     16.758  
    98             DTL_RF:Cav02:Rg34     11.78066     17.132  
    99             DTL_RF:Cav02:Rg35     11.92094     17.511  
   100             DTL_RF:Cav02:Rg36     12.06271     17.895  
   101             DTL_RF:Cav02:Rg37     12.20597     18.285  
   102             DTL_RF:Cav02:Rg38     12.35073     18.680  
   103             DTL_RF:Cav02:Rg39     12.49700     19.080  
   104             DTL_RF:Cav02:Rg40     12.64478     19.486  
   105             DTL_RF:Cav02:Rg41     12.79407     19.897  
   106             DTL_RF:Cav02:Rg42     12.94489     20.313  
   107             DTL_RF:Cav02:Rg43     13.09723     20.734  
   108             DTL_RF:Cav02:Rg44     13.25110     21.161  
   109             DTL_RF:Cav02:Rg45     13.40652     21.594  
   110             DTL_RF:Cav02:Rg46     13.56295     22.027  
   111             DTL_RF:Cav02:Rg47     13.72038     22.455  
   112             DTL_RF:Cav02:Rg48     13.87930     22.877  
   113             DTL_RF:Cav03:Rg01     14.20071     23.286  
   114             DTL_RF:Cav03:Rg02     14.36516     23.715  
   115             DTL_RF:Cav03:Rg03     14.53083     24.159  
   116             DTL_RF:Cav03:Rg04     14.69734     24.613  
   117             DTL_RF:Cav03:Rg05     14.86468     25.072  
   118             DTL_RF:Cav03:Rg06     15.03329     25.533  
   119             DTL_RF:Cav03:Rg07     15.20337     25.998  
   120             DTL_RF:Cav03:Rg08     15.37492     26.465  
   121             DTL_RF:Cav03:Rg09     15.54794     26.935  
   122             DTL_RF:Cav03:Rg10     15.72243     27.407  
   123             DTL_RF:Cav03:Rg11     15.89838     27.882  
   124             DTL_RF:Cav03:Rg12     16.07580     28.360  
   125             DTL_RF:Cav03:Rg13     16.25467     28.841  
   126             DTL_RF:Cav03:Rg14     16.43500     29.324  
   127             DTL_RF:Cav03:Rg15     16.61679     29.810  
   128             DTL_RF:Cav03:Rg16     16.80003     30.299  
   129             DTL_RF:Cav03:Rg17     16.98471     30.792  
   130             DTL_RF:Cav03:Rg18     17.17084     31.287  
   131             DTL_RF:Cav03:Rg19     17.35842     31.786  
   132             DTL_RF:Cav03:Rg20     17.54743     32.289  
   133             DTL_RF:Cav03:Rg21     17.73788     32.795  
   134             DTL_RF:Cav03:Rg22     17.92976     33.306  
   135             DTL_RF:Cav03:Rg23     18.12308     33.820  
   136             DTL_RF:Cav03:Rg24     18.31782     34.338  
   137             DTL_RF:Cav03:Rg25     18.51399     34.861  
   138             DTL_RF:Cav03:Rg26     18.71157     35.388  
   139             DTL_RF:Cav03:Rg27     18.91058     35.920  
   140             DTL_RF:Cav03:Rg28     19.11100     36.456  
   141             DTL_RF:Cav03:Rg29     19.31283     36.997  
   142             DTL_RF:Cav03:Rg30     19.51607     37.542  
   143             DTL_RF:Cav03:Rg31     19.72072     38.091  
   144             DTL_RF:Cav03:Rg32     19.92598     38.639  
   145             DTL_RF:Cav03:Rg33     20.13182     39.177  
   146             DTL_RF:Cav03:Rg34     20.33898     39.704  
   147             DTL_RF:Cav04:Rg01     20.75829     40.233  
   148             DTL_RF:Cav04:Rg02     20.97159     40.785  
   149             DTL_RF:Cav04:Rg03     21.18600     41.354  
   150             DTL_RF:Cav04:Rg04     21.40104     41.934  
   151             DTL_RF:Cav04:Rg05     21.61672     42.520  
   152             DTL_RF:Cav04:Rg06     21.83353     43.108  
   153             DTL_RF:Cav04:Rg07     22.05171     43.700  
