1 66.4401
2 86.8839
3 83.0199
4 70.1316
5 69.6347
6 73.4916
7 75.8617
8 87.8669
9 72.5582
10 72.5969
11 80.6197
12 80.1611
13 89.0205
14 78.2967
15 76.7048
16 83.8796
17 80.9596
18 74.4583
19 71.7575
20 77.186
21 81.6538
22 84.9895
23 86.2882
24 81.3564
25 80.4626
26 78.3275
27 80.4685
28 77.5262
29 75.6943
30 76.7897
31 77.4223
32 71.1951
33 68.6342
34 77.8475
35 88.3815
36 82.0684
37 75.4242
38 75.0213
39 70.2899
40 83.8358
41 72.9717
42 78.7625
43 85.1017
44 78.5552
45 81.1088
46 83.6338
47 77.9384
48 69.8498
49 69.0989
50 72.9198
51 73.8366
52 82.1168
53 78.9109
54 76.0032
55 76.3025
56 82.3607
57 80.4146
58 76.0971
59 75.9229
60 73.5987
61 69.1967
62 64.7031
63 78.8831
64 87.0721
65 74.419
66 78.1138
67 70.9483
68 85.466
69 77.2239
70 76.761
71 78.6135
72 75.4847
73 82.515
74 80.8611
75 68.1188
76 72.2265
77 71.5118
78 82.989
79 85.7667
80 65.0967
81 71.0027
82 87.7508
83 70.8444
84 66.4082
85 85.0768
86 70.5656
87 59.6327
88 74.3201
89 73.5396
90 72.5732
91 89.3816
92 78.842
93 76.6763
94 80.4442
95 84.2779
96 73.1913
97 85.1866
98 86.2021
99 82.3015
100 69.4959
101 83.3984
102 81.6235
103 80.0494
104 84.7415
105 76.9247
106 76.0192
107 78.5231
108 84.9973
109 77.7051
110 86.8696
111 87.3061
112 81.9575
113 79.3879
114 78.3148
115 85.7065
116 89.2877
117 89.7827
118 79.8509
119 79.6792
120 74.9356
121 73.7771
122 74.4362
123 75.4823
124 80.272
125 87.1383
126 82.1292
127 83.8064
128 70.5033
