0 0 0 0 0 0 0 0
16 1 0 5.66448 0 0 0.176539 0
32 2 0 11.329 0 0 0.0882693 0
48 3 0 16.9934 0 0 0.0588462 0
64 4 0 22.6579 0 0 0.0441347 0
80 5 0 28.3224 0 0 0.0353077 0
96 6 0 33.9869 0 0 0.0294231 0
112 7 0 39.6514 0 0 0.0252198 0
128 8 0 45.3159 0 0 0 0
144 9 0 50.9803 0 0 -0.0252198 0
160 10 0 56.6448 0 0 -0.0294231 0
176 11 0 62.3093 0 0 -0.0353077 0
192 12 0 67.9738 0 0 -0.0441347 0
208 13 0 73.6383 0 0 -0.0588462 0
224 14 0 79.3028 0 0 -0.0882693 0
240 15 0 84.9672 0 0 -0.176539 0
1 0 1 0 3.12397 0 0 0.320106
17 1 1 5.66448 3.12397 0 0.135366 0.0746547
33 2 1 11.329 3.12397 0 0.0820318 0.0226203
49 3 1 16.9934 3.12397 0 0.0569225 0.0104643
65 4 1 22.6579 3.12397 0 0.0433113 0.00597156
81 5 1 28.3224 3.12397 0 0.0348833 0.00384764
97 6 1 33.9869 3.12397 0 0.0291766 0.00268182
113 7 1 39.6514 3.12397 0 0.0250642 0.00197471
129 8 1 45.3159 3.12397 0 0 0
145 9 1 50.9803 3.12397 0 -0.0250642 0.00197471
161 10 1 56.6448 3.12397 0 -0.0291766 0.00268182
177 11 1 62.3093 3.12397 0 -0.0348833 0.00384764
193 12 1 67.9738 3.12397 0 -0.0433113 0.00597156
209 13 1 73.6383 3.12397 0 -0.0569225 0.0104643
225 14 1 79.3028 3.12397 0 -0.0820318 0.0226203
241 15 1 84.9672 3.12397 0 -0.135366 0.0746547
2 0 2 0 6.24794 0 0 0.160053
18 1 2 5.66448 6.24794 0 0.0796434 0.0878468
34 2 2 11.329 6.24794 0 0.0676832 0.0373274
50 3 2 16.9934 6.24794 0 0.0518387 0.0190594
66 4 2 22.6579 6.24794 0 0.0410159 0.0113101
82 5 2 28.3224 6.24794 0 0.0336692 0.00742744
98 6 2 33.9869 6.24794 0 0.0284613 0.00523214
114 7 2 39.6514 6.24794 0 0.0246088 0.00387765
130 8 2 45.3159 6.24794 0 0 0
146 9 2 50.9803 6.24794 0 -0.0246088 0.00387765
162 10 2 56.6448 6.24794 0 -0.0284613 0.00523214
178 11 2 62.3093 6.24794 0 -0.0336692 0.00742744
194 12 2 67.9738 6.24794 0 -0.0410159 0.0113101
210 13 2 73.6383 6.24794 0 -0.0518387 0.0190594
226 14 2 79.3028 6.24794 0 -0.0676832 0.0373274
242 15 2 84.9672 6.24794 0 -0.0796434 0.0878468
3 0 3 0 9.3719 0 0 0.106702
19 1 3 5.66448 9.3719 0 0.0472359 0.078152
35 2 3 11.329 9.3719 0 0.0524057 0.0433527
51 3 3 16.9934 9.3719 0 0.0451222 0.0248849
67 4 3 22.6579 9.3719 0 0.0376869 0.0155883
83 5 3 28.3224 9.3719 0 0.0318232 0.0105303
99 6 3 33.9869 9.3719 0 0.0273439 0.0075401
115 7 3 39.6514 9.3719 0 0.0238854 0.00564551
131 8 3 45.3159 9.3719 0 0 0
147 9 3 50.9803 9.3719 0 -0.0238854 0.00564551
163 10 3 56.6448 9.3719 0 -0.0273439 0.0075401
179 11 3 62.3093 9.3719 5.35028e-17 -0.0318232 0.0105303
195 12 3 67.9738 9.3719 3.90586e-16 -0.0376869 0.0155883
211 13 3 73.6383 9.3719 0 -0.0451222 0.0248849
227 14 3 79.3028 9.3719 0 -0.0524057 0.0433527
243 15 3 84.9672 9.3719 0 -0.0472359 0.078152
4 0 4 0 12.4959 0 0 0.0800264
20 1 4 5.66448 12.4959 0 0.0300929 0.0663851
36 2 4 11.329 12.4959 0 0.0398217 0.0439234
52 3 4 16.9934 12.4959 0 0.038194 0.0280854
68 4 4 22.6579 12.4959 0 0.0338416 0.0186637
84 5 4 28.3224 12.4959 0 0.0295547 0.0130395
100 6 4 33.9869 12.4959 0 0.0259193 0.0095297
116 7 4 39.6514 12.4959 0 0.0229414 0.00722982
132 8 4 45.3159 12.4959 0 0 0
148 9 4 50.9803 12.4959 0 -0.0229414 0.00722982
164 10 4 56.6448 12.4959 0 -0.0259193 0.0095297
180 11 4 62.3093 12.4959 0.120478 -0.0295547 0.0130395
196 12 4 67.9738 12.4959 0.879522 -0.0338416 0.0186637
212 13 4 73.6383 12.4959 0 -0.038194 0.0280854
228 14 4 79.3028 12.4959 0 -0.0398217 0.0439234
244 15 4 84.9672 12.4959 0 -0.0300929 0.0663851
5 0 5 0 15.6198 0 0 0.0640211
21 1 5 5.66448 15.6198 0 0.0205186 0.0565801
37 2 5 11.329 15.6198 0 0.0304276 0.0419522
53 3 5 16.9934 15.6198 0 0.0318972 0.0293189
69 4 5 22.6579 15.6198 0 0.0299169 0.020624
85 5 5 28.3224 15.6198 0 0.0270733 0.0149309
101 6 5 33.9869 15.6198 0 0.0242922 0.0111643
117 7 5 39.6514 15.6198 0 0.0218319 0.00860023
133 8 5 45.3159 15.6198 0 0 0
149 9 5 50.9803 15.6198 0 -0.0218319 0.00860023
165 10 5 56.6448 15.6198 0 -0.0242922 0.0111643
181 11 5 62.3093 15.6198 0 -0.0270733 0.0149309
197 12 5 67.9738 15.6198 0 -0.0299169 0.020624
213 13 5 73.6383 15.6198 0 -0.0318972 0.0293189
229 14 5 79.3028 15.6198 0 -0.0304276 0.0419522
245 15 5 84.9672 15.6198 0 -0.0205186 0.0565801
6 0 6 0 18.7438 0 0 0.053351
22 1 6 5.66448 18.7438 0 0.0147737 0.0488863
38 2 6 11.329 18.7438 0 0.023618 0.039076
54 3 6 16.9934 18.7438 0 0.0265478 0.0292823
70 4 6 22.6579 18.7438 0 0.0262029 0.0216764
86 5 6 28.3224 18.7438 0 0.0245537 0.0162497
102 6 6 33.9869 18.7438 0 0.0225611 0.0124425
118 7 6 39.6514 18.7438 0 0.0206135 0.00974432
134 8 6 45.3159 18.7438 0.110218 0 0
150 9 6 50.9803 18.7438 0.126494 -0.0206135 0.00974432
166 10 6 56.6448 18.7438 0 -0.0225611 0.0124425
182 11 6 62.3093 18.7438 0 -0.0245537 0.0162497
198 12 6 67.9738 18.7438 0 -0.0262029 0.0216764
214 13 6 73.6383 18.7438 0 -0.0265478 0.0292823
230 14 6 79.3028 18.7438 0 -0.023618 0.039076
246 15 6 84.9672 18.7438 0 -0.0147737 0.0488863
7 0 7 0 21.8678 0 0 0.0457294
23 1 7 5.66448 21.8678 0 0.0111006 0.042854
39 2 7 11.329 21.8678 0 0.0186779 0.036053
55 3 7 16.9934 21.8678 0 0.0221564 0.0285116
71 4 7 22.6579 21.8678 0.245003 0.0228503 0.0220534
87 5 7 28.3224 21.8678 0.0118371 0.0221207 0.0170794
103 6 7 33.9869 21.8678 0.434847 0.0208086 0.0133886
119 7 7 39.6514 21.8678 0.0686064 0.0193381 0.010665
135 8 7 45.3159 21.8678 0.443955 0 0
151 9 7 50.9803 21.8678 0.407885 -0.0193381 0.010665
167 10 7 56.6448 21.8678 0 -0.0208086 0.0133886
183 11 7 62.3093 21.8678 0 -0.0221207 0.0170794
199 12 7 67.9738 21.8678 0 -0.0228503 0.0220534
215 13 7 73.6383 21.8678 0 -0.0221564 0.0285116
231 14 7 79.3028 21.8678 0 -0.0186779 0.036053
247 15 7 84.9672 21.8678 0 -0.0111006 0.042854
8 0 8 0 24.9917 0 0 0
24 1 8 5.66448 24.9917 0 0 0
40 2 8 11.329 24.9917 0 0 0
56 3 8 16.9934 24.9917 0 0 0
72 4 8 22.6579 24.9917 0.754997 0 0
88 5 8 28.3224 24.9917 0.0146628 0 0
104 6 8 33.9869 24.9917 0.538653 0 0
120 7 8 39.6514 24.9917 0.367936 0 0
136 8 8 45.3159 24.9917 0.474906 0 0
152 9 8 50.9803 24.9917 0 0 0
168 10 8 56.6448 24.9917 0.333379 0 0
184 11 8 62.3093 24.9917 0.279751 0 0
200 12 8 67.9738 24.9917 0.549384 0 0
216 13 8 73.6383 24.9917 -6.89138e-16 0 0
232 14 8 79.3028 24.9917 0 0 0
248 15 8 84.9672 24.9917 0 0 0
9 0 9 0 28.1157 0 0 -0.0457294
25 1 9 5.66448 28.1157 0 0.0111006 -0.042854
41 2 9 11.329 28.1157 0 0.0186779 -0.036053
57 3 9 16.9934 28.1157 0 0.0221564 -0.0285116
73 4 9 22.6579 28.1157 0 0.0228503 -0.0220534
89 5 9 28.3224 28.1157 0 0.0221207 -0.0170794
105 6 9 33.9869 28.1157 0 0.0208086 -0.0133886
121 7 9 39.6514 28.1157 0 0.0193381 -0.010665
137 8 9 45.3159 28.1157 0 0 0
153 9 9 50.9803 28.1157 0.523035 -0.0193381 -0.010665
169 10 9 56.6448 28.1157 0.435099 -0.0208086 -0.0133886
185 11 9 62.3093 28.1157 0.176516 -0.0221207 -0.0170794
201 12 9 67.9738 28.1157 0.450616 -0.0228503 -0.0220534
217 13 9 73.6383 28.1157 -5.65244e-16 -0.0221564 -0.0285116
233 14 9 79.3028 28.1157 0 -0.0186779 -0.036053
249 15 9 84.9672 28.1157 0 -0.0111006 -0.042854
10 0 10 0 31.2397 0 0 -0.053351
26 1 10 5.66448 31.2397 0 0.0147737 -0.0488863
42 2 10 11.329 31.2397 0 0.023618 -0.039076
58 3 10 16.9934 31.2397 0 0.0265478 -0.0292823
74 4 10 22.6579 31.2397 0 0.0262029 -0.0216764
90 5 10 28.3224 31.2397 0 0.0245537 -0.0162497
106 6 10 33.9869 31.2397 0.230674 0.0225611 -0.0124425
122 7 10 39.6514 31.2397 0.04829 0.0206135 -0.00974432
138 8 10 45.3159 31.2397 0 0 0
154 9 10 50.9803 31.2397 0.176415 -0.0206135 -0.00974432
170 10 10 56.6448 31.2397 0.0758045 -0.0225611 -0.0124425
186 11 10 62.3093 31.2397 0 -0.0245537 -0.0162497
202 12 10 67.9738 31.2397 0 -0.0262029 -0.0216764
218 13 10 73.6383 31.2397 0 -0.0265478 -0.0292823
234 14 10 79.3028 31.2397 0 -0.023618 -0.039076
250 15 10 84.9672 31.2397 0 -0.0147737 -0.0488863
11 0 11 0 34.3636 0 0 -0.0640211
27 1 11 5.66448 34.3636 0 0.0205186 -0.0565801
43 2 11 11.329 34.3636 0 0.0304276 -0.0419522
59 3 11 16.9934 34.3636 0 0.0318972 -0.0293189
75 4 11 22.6579 34.3636 0 0.0299169 -0.020624
91 5 11 28.3224 34.3636 0 0.0270733 -0.0149309
107 6 11 33.9869 34.3636 0.596221 0.0242922 -0.0111643
123 7 11 39.6514 34.3636 0.124815 0.0218319 -0.00860023
139 8 11 45.3159 34.3636 0 0 0
155 9 11 50.9803 34.3636 0 -0.0218319 -0.00860023
171 10 11 56.6448 34.3636 0 -0.0242922 -0.0111643
187 11 11 62.3093 34.3636 0 -0.0270733 -0.0149309
203 12 11 67.9738 34.3636 0 -0.0299169 -0.020624
219 13 11 73.6383 34.3636 0 -0.0318972 -0.0293189
235 14 11 79.3028 34.3636 0 -0.0304276 -0.0419522
251 15 11 84.9672 34.3636 0 -0.0205186 -0.0565801
12 0 12 0 37.4876 0 0 -0.0800264
28 1 12 5.66448 37.4876 0 0.0300929 -0.0663851
44 2 12 11.329 37.4876 0 0.0398217 -0.0439234
60 3 12 16.9934 37.4876 0 0.038194 -0.0280854
76 4 12 22.6579 37.4876 0 0.0338416 -0.0186637
92 5 12 28.3224 37.4876 0 0.0295547 -0.0130395
108 6 12 33.9869 37.4876 0 0.0259193 -0.0095297
124 7 12 39.6514 37.4876 0 0.0229414 -0.00722982
140 8 12 45.3159 37.4876 0 0 0
156 9 12 50.9803 37.4876 0.643477 -0.0229414 -0.00722982
172 10 12 56.6448 37.4876 0.356523 -0.0259193 -0.0095297
188 11 12 62.3093 37.4876 0 -0.0295547 -0.0130395
204 12 12 67.9738 37.4876 0 -0.0338416 -0.0186637
