5 5 0
5 6 0
5 7 0
5 8 2.45003e+12
5 9 7.54997e+12
5 10 0
5 11 0
5 12 0
5 13 0
6 5 0
6 6 0
6 7 0
6 8 1.18371e+11
6 9 1.46628e+11
6 10 0
6 11 0
6 12 0
6 13 0
7 5 0
7 6 0
7 7 0
7 8 4.34847e+12
7 9 5.38653e+12
7 10 0
7 11 2.30674e+12
7 12 5.96221e+12
7 13 0
8 5 0
8 6 0
8 7 0
8 8 6.86064e+11
8 9 3.67936e+12
8 10 0
8 11 4.829e+11
8 12 1.24815e+12
8 13 0
9 5 0
9 6 0
9 7 1.10218e+12
9 8 4.43955e+12
9 9 4.74906e+12
9 10 0
9 11 0
9 12 0
9 13 0
10 5 0
10 6 0
10 7 1.26494e+12
10 8 4.07885e+12
10 9 0
10 10 5.23035e+12
10 11 1.76415e+12
10 12 0
10 13 6.43477e+12
11 5 0
11 6 0
11 7 0
11 8 0
11 9 3.33379e+12
11 10 4.35099e+12
11 11 7.58045e+11
11 12 0
11 13 3.56523e+12
12 5 1.20478e+12
12 6 0
12 7 0
12 8 0
12 9 2.79751e+12
12 10 1.76516e+12
12 11 0
12 12 0
12 13 0
13 5 8.79522e+12
13 6 0
13 7 0
13 8 0
13 9 5.49384e+12
13 10 4.50616e+12
13 11 0
13 12 0
13 13 0
