-4 -4 6.68962e+14  1.04107e+14
-4 -3 2.59337e+14  -5.63685e+14
-4 -2 6.09892e+14  -7.77691e+14
-4 -1 7.70518e+14  -8.09533e+14
-4 0 4.44773e+14  -8.61586e+14
-4 1 6.38938e+14  -7.78661e+14
-4 2 6.37227e+14  -5.38e+14
-4 3 6.27103e+14  -2.71487e+14
-4 4 6.11385e+14  7.97709e+12
-4 5 5.91352e+14  2.84311e+14
-4 6 5.67157e+14  5.41423e+14
-4 7 5.38942e+14  7.66948e+14
-4 8 3.08452e+14  7.40058e+14
-4 9 5.27457e+14  6.76985e+14
-4 10 5.24335e+14  7.83712e+14
-4 11 6.43754e+14  6.95123e+14
-3 -4 7.38352e+13  -1.35644e+13
-3 -3 -3.50245e+14  -6.88168e+14
-3 -2 -1.22406e+14  -8.18766e+14
-3 -1 -6.20393e+13  -8.91818e+14
-3 0 -3.54711e+14  -9.13759e+14
-3 1 -3.7791e+14  -7.69276e+14
-3 2 -4.64609e+14  -5.36835e+14
-3 3 -5.33649e+14  -2.63287e+14
-3 4 -5.69219e+14  3.28892e+13
-3 5 -5.65462e+14  3.24597e+14
-3 6 -5.29505e+14  5.86871e+14
-3 7 -4.7527e+14  8.05594e+14
-3 8 -6.12854e+14  8.06808e+14
-3 9 -3.14886e+14  7.67935e+14
-3 10 -2.00447e+14  8.56357e+14
-3 11 9.12114e+13  7.14422e+14
-2 -4 -5.71211e+14  -2.27282e+13
-2 -3 -8.65161e+14  -7.38089e+14
-2 -2 -8.1046e+14  -9.11165e+14
-2 -1 -8.59413e+14  -1.07328e+15
-2 0 -1.0641e+15  -1.19174e+15
-2 1 -1.40699e+15  -1.09484e+15
-2 2 -1.64666e+15  -8.3172e+14
-2 3 -1.84554e+15  -4.5766e+14
-2 4 -1.93058e+15  -6.59763e+12
-2 5 -1.87407e+15  4.30523e+14
-2 6 -1.72482e+15  7.79342e+14
-2 7 -1.54791e+15  1.03044e+15
-2 8 -1.56652e+15  1.06934e+15
-2 9 -1.18811e+15  1.05665e+15
-2 10 -9.71905e+14  1.11527e+15
-2 11 -5.69304e+14  8.46255e+14
-1 -4 -8.89589e+14  8.34388e+13
-1 -3 -1.11583e+15  -7.96272e+14
-1 -2 -1.19292e+15  -1.08525e+15
-1 -1 -1.30773e+15  -1.38735e+15
-1 0 -1.51581e+15  -1.7006e+15
-1 1 -2.09601e+15  -1.78601e+15
-1 2 -2.65334e+15  -1.61248e+15
-1 3 -3.3205e+15  -1.06118e+15
-1 4 -3.62379e+15  -6.43883e+12
-1 5 -3.2055e+15  9.12736e+14
-1 6 -2.6701e+15  1.30182e+15
-1 7 -2.29151e+15  1.48223e+15
-1 8 -2.16232e+15  1.50493e+15
-1 9 -1.73475e+15  1.49386e+15
-1 10 -1.44788e+15  1.51457e+15
-1 11 -1.00524e+15  1.14199e+15
0 -4 -1.24889e+15  1.99216e+14
0 -3 -1.39424e+15  -8.24668e+14
0 -2 -1.60641e+15  -1.22711e+15
0 -1 -1.7422e+15  -1.70375e+15
0 0 -1.90305e+15  -2.23955e+15
0 1 -2.42308e+15  -2.61992e+15
0 2 -2.76414e+15  -3.18926e+15
0 3 -3.05876e+15  -3.25024e+15
0 4 -3.22503e+15  4.16349e+14
0 5 -3.23914e+15  2.92316e+15
0 6 -3.1351e+15  2.0326e+15
0 7 -2.92839e+15  1.96199e+15
0 8 -2.61251e+15  2.01565e+15
0 9 -2.30814e+15  2.04622e+15
0 10 -1.95345e+15  1.9921e+15
0 11 -1.49732e+15  1.46722e+15
1 -4 -1.45426e+15  3.27053e+14
1 -3 -1.47144e+15  -9.88857e+14
1 -2 -1.78361e+15  -1.5593e+15
1 -1 -1.93645e+15  -2.13794e+15
1 0 -2.02117e+15  -2.77242e+15
