 N           node   position  sizeX  sizeY  sizeZ  sizeZdeg  sizeXP  sizeYP sizedE  eKin Nparts 
    40          MEBT:MEBT_Mag:QV04:12:drift  0.90831    1.479  1.113   3.421    22.711    3.561  3.412  0.00885    2.500000      20000 
    41          MEBT:MEBT_Mag:QV04:13:drift  0.92829    1.538  1.072   3.450    22.900    3.561  3.412  0.00885    2.500000      20000 
    42          MEBT:MEBT_Mag:QV04:14:drift  0.94827    1.601  1.038   3.482    23.112    3.729  3.294  0.00953    2.500000      20000 
    43          MEBT:MEBT_Mag:QV04:15:drift  0.96826    1.665  1.008   3.514    23.325    3.729  3.294  0.00953    2.500000      20000 
    44          MEBT:MEBT_Mag:QV04:16:drift  0.98824    1.734  0.985   3.549    23.559    3.897  3.209  0.01020    2.500000      20000 
    45          MEBT:MEBT_Mag:QV04:17:drift  1.00823    1.804  0.965   3.585    23.794    3.897  3.209  0.01020    2.500000      20000 
    46          MEBT:MEBT_Mag:QV04:18:drift  1.02821    1.878  0.954   3.623    24.049    4.059  3.161  0.01086    2.500000      20000 
    47          MEBT:MEBT_Mag:QV04:19:drift  1.04819    1.952  0.946   3.662    24.305    4.059  3.161  0.01086    2.500000      20000 
    48          MEBT:MEBT_Mag:QV04:20:drift  1.06818    2.031  0.946   3.703    24.581    4.214  3.148  0.01149    2.500000      20000 
    49          MEBT:MEBT_Mag:QV04:21:drift  1.08816    2.110  0.951   3.745    24.856    4.214  3.148  0.01149    2.500000      20000 
    50          MEBT:MEBT_Mag:QV04:22:drift  1.10815    2.192  0.963   3.789    25.150    4.358  3.167  0.01209    2.500000      20000 
    51          MEBT:MEBT_Mag:QV04:23:drift  1.12813    2.275  0.978   3.833    25.444    4.358  3.167  0.01209    2.500000      20000 
    52          MEBT:MEBT_Mag:QV04:24:drift  1.14811    2.360  1.001   3.880    25.755    4.492  3.209  0.01266    2.500000      20000 
    53          MEBT:MEBT_Mag:QV04:25:drift  1.16810    2.446  1.027   3.927    26.066    4.492  3.209  0.01266    2.500000      20000 
    54          MEBT:MEBT_Mag:QV04:26:drift  1.18808    2.535  1.059   3.976    26.393    4.614  3.267  0.01318    2.500000      20000 
    55          MEBT:MEBT_Mag:QV04:27:drift  1.20806    2.624  1.094   4.025    26.720    4.614  3.267  0.01318    2.500000      20000 
    56          MEBT:MEBT_Mag:QV04:28:drift  1.22805    2.716  1.134   4.077    27.061    4.725  3.334  0.01366    2.500000      20000 
    57          MEBT:MEBT_Mag:QV04:29:drift  1.24803    2.808  1.177   4.128    27.402    4.725  3.334  0.01366    2.500000      20000 
    58          MEBT:MEBT_Mag:QV04:30:drift  1.26802    2.902  1.223   4.182    27.757    4.825  3.404  0.01411    2.500000      20000 
    59          MEBT:MEBT_Mag:QV04:31:drift  1.28800    2.996  1.272   4.235    28.111    4.825  3.404  0.01411    2.500000      20000 
    60                  MEBT_RF:Bnch02:Rg01  1.28800    2.996  1.272   4.234    28.107    6.368  3.938  0.00812    2.500000      20000 
    61     MEBT:MEBT_RF:Bnch02:Rg01:1:drift  1.30725    3.117  1.334   4.209    27.938    6.368  3.938  0.00812    2.500000      20000 
    62     MEBT:MEBT_RF:Bnch02:Rg01:2:drift  1.32650    3.238  1.398   4.183    27.769    6.368  3.938  0.00812    2.500000      20000 
