 N           node   position  sizeX  sizeY  sizeZ  sizeZdeg  sizeXP  sizeYP sizedE  eKin Nparts 
    40          MEBT:MEBT_Mag:QV04:12:drift  0.90831    1.383  1.039   2.935    19.485    3.860  3.508  0.00757    2.500000      20000 
    41          MEBT:MEBT_Mag:QV04:13:drift  0.92829    1.447  0.999   2.954    19.608    3.860  3.508  0.00757    2.500000      20000 
    42          MEBT:MEBT_Mag:QV04:14:drift  0.94827    1.517  0.967   2.976    19.754    4.015  3.406  0.00809    2.500000      20000 
    43          MEBT:MEBT_Mag:QV04:15:drift  0.96826    1.587  0.939   2.998    19.901    4.015  3.406  0.00809    2.500000      20000 
    44          MEBT:MEBT_Mag:QV04:16:drift  0.98824    1.662  0.918   3.023    20.069    4.168  3.338  0.00864    2.500000      20000 
    45          MEBT:MEBT_Mag:QV04:17:drift  1.00823    1.737  0.903   3.049    20.238    4.168  3.338  0.00864    2.500000      20000 
    46          MEBT:MEBT_Mag:QV04:18:drift  1.02821    1.817  0.895   3.077    20.427    4.315  3.305  0.00919    2.500000      20000 
    47          MEBT:MEBT_Mag:QV04:19:drift  1.04819    1.897  0.892   3.106    20.618    4.315  3.305  0.00919    2.500000      20000 
    48          MEBT:MEBT_Mag:QV04:20:drift  1.06818    1.980  0.897   3.138    20.827    4.453  3.306  0.00973    2.500000      20000 
    49          MEBT:MEBT_Mag:QV04:21:drift  1.08816    2.064  0.907   3.169    21.037    4.453  3.306  0.00973    2.500000      20000 
    50          MEBT:MEBT_Mag:QV04:22:drift  1.10815    2.151  0.925   3.203    21.264    4.581  3.335  0.01025    2.500000      20000 
    51          MEBT:MEBT_Mag:QV04:23:drift  1.12813    2.238  0.947   3.238    21.493    4.581  3.335  0.01025    2.500000      20000 
    52          MEBT:MEBT_Mag:QV04:24:drift  1.14811    2.329  0.976   3.275    21.737    4.697  3.383  0.01075    2.500000      20000 
    53          MEBT:MEBT_Mag:QV04:25:drift  1.16810    2.419  1.008   3.312    21.983    4.697  3.383  0.01075    2.500000      20000 
    54          MEBT:MEBT_Mag:QV04:26:drift  1.18808    2.512  1.046   3.351    22.243    4.802  3.442  0.01121    2.500000      20000 
    55          MEBT:MEBT_Mag:QV04:27:drift  1.20806    2.605  1.088   3.390    22.504    4.802  3.442  0.01121    2.500000      20000 
    56          MEBT:MEBT_Mag:QV04:28:drift  1.22805    2.700  1.134   3.432    22.778    4.897  3.507  0.01163    2.500000      20000 
    57          MEBT:MEBT_Mag:QV04:29:drift  1.24803    2.796  1.182   3.473    23.054    4.897  3.507  0.01163    2.500000      20000 
    58          MEBT:MEBT_Mag:QV04:30:drift  1.26802    2.893  1.234   3.516    23.341    4.982  3.573  0.01203    2.500000      20000 
    59          MEBT:MEBT_Mag:QV04:31:drift  1.28800    2.990  1.289   3.560    23.630    4.982  3.573  0.01203    2.500000      20000 
    60                  MEBT_RF:Bnch02:Rg01  1.28800    2.990  1.289   3.560    23.630    6.585  4.178  0.00884    2.500000      20000 
    61     MEBT:MEBT_RF:Bnch02:Rg01:1:drift  1.30725    3.116  1.357   3.532    23.445    6.585  4.178  0.00884    2.500000      20000 
    62     MEBT:MEBT_RF:Bnch02:Rg01:2:drift  1.32650    3.241  1.426   3.504    23.262    6.585  4.178  0.00884    2.500000      20000 
    63     MEBT:MEBT_RF:Bnch02:Rg01:3:drift  1.34575    3.368  1.498   3.478    23.088    6.652  4.241  0.00856    2.500000      20000 
    64     MEBT:MEBT_RF:Bnch02:Rg01:4:drift  1.36500    3.495  1.571   3.452    22.915    6.652  4.241  0.00856    2.500000      20000 
    65                        MEBT_Mag:QH05  1.43100    3.362  2.107   3.369    22.363    10.583  12.904  0.00805    2.500000      20000 
    66           MEBT:MEBT_Mag:QH05:1:drift  1.44800    3.183  2.325   3.349    22.229    10.583  12.904  0.00805    2.500000      20000 
    67           MEBT:MEBT_Mag:QH05:2:drift  1.46500    3.004  2.544   3.329    22.099    10.548  12.939  0.00791    2.500000      20000 
    68                        MEBT_Mag:QV06  1.53100    3.038  2.722   3.258    21.629    11.608  7.818  0.00751    2.500000      20000 
    69           MEBT:MEBT_Mag:QV06:1:drift  1.54800    3.235  2.590   3.241    21.516    11.608  7.818  0.00751    2.500000      20000 
    70           MEBT:MEBT_Mag:QV06:2:drift  1.56500    3.432  2.459   3.225    21.408    11.641  7.786  0.00740    2.500000      20000 
    71                        MEBT_Mag:QH07  1.63100    3.799  2.217   3.167    21.021    1.062  1.331  0.00704    2.500000      20000 
    72           MEBT:MEBT_Mag:QH07:1:drift  1.65057    3.785  2.221   3.151    20.916    1.062  1.331  0.00704    2.500000      20000 
    73           MEBT:MEBT_Mag:QH07:2:drift  1.67014    3.772  2.227   3.136    20.819    1.028  1.342  0.00688    2.500000      20000 
    74           MEBT:MEBT_Mag:QH07:3:drift  1.68971    3.759  2.232   3.122    20.724    1.028  1.342  0.00688    2.500000      20000 
    75           MEBT:MEBT_Mag:QH07:4:drift  1.70929    3.748  2.240   3.109    20.638    0.997  1.356  0.00673    2.500000      20000 
    76           MEBT:MEBT_Mag:QH07:5:drift  1.72886    3.737  2.247   3.096    20.552    0.997  1.356  0.00673    2.500000      20000 
    77           MEBT:MEBT_Mag:QH07:6:drift  1.74843    3.726  2.256   3.085    20.476    0.967  1.374  0.00660    2.500000      20000 
    78           MEBT:MEBT_Mag:QH07:7:drift  1.76800    3.716  2.266   3.073    20.401    0.967  1.374  0.00660    2.500000      20000 
    79           MEBT:MEBT_Mag:QH07:8:drift  1.78757    3.707  2.276   3.063    20.335    0.941  1.396  0.00647    2.500000      20000 
    80           MEBT:MEBT_Mag:QH07:9:drift  1.80714    3.698  2.287   3.054    20.270    0.941  1.396  0.00647    2.500000      20000 
    81          MEBT:MEBT_Mag:QH07:10:drift  1.82671    3.690  2.300   3.045    20.214    0.917  1.421  0.00637    2.500000      20000 
    82          MEBT:MEBT_Mag:QH07:11:drift  1.84629    3.682  2.312   3.037    20.159    0.917  1.421  0.00637    2.500000      20000 
    83          MEBT:MEBT_Mag:QH07:12:drift  1.86586    3.675  2.326   3.030    20.114    0.896  1.449  0.00628    2.500000      20000 
    84          MEBT:MEBT_Mag:QH07:13:drift  1.88543    3.669  2.341   3.023    20.069    0.896  1.449  0.00628    2.500000      20000 
    85          MEBT:MEBT_Mag:QH07:14:drift  1.90500    3.663  2.356   3.018    20.032    0.884  1.470  0.00623    2.500000      20000 
    86                        MEBT_Mag:QH08  1.97100    3.248  2.682   3.004    19.941    12.093  9.346  0.00613    2.500000      20000 
    87           MEBT:MEBT_Mag:QH08:1:drift  1.98800    3.043  2.840   3.002    19.926    12.093  9.346  0.00613    2.500000      20000 
    88           MEBT:MEBT_Mag:QH08:2:drift  2.00500    2.839  2.999   3.000    19.917    12.058  9.380  0.00611    2.500000      20000 
    89                        MEBT_Mag:QV09  2.07100    2.722  2.851   3.001    19.917    8.402  13.650  0.00612    2.500000      20000 
    90           MEBT:MEBT_Mag:QV09:1:drift  2.08800    2.863  2.620   3.002    19.927    8.402  13.650  0.00612    2.500000      20000 
    91           MEBT:MEBT_Mag:QV09:2:drift  2.10500    3.006  2.389   3.004    19.942    8.441  13.612  0.00614    2.500000      20000 
    92                        MEBT_Mag:QH10  2.17100    3.061  1.850   3.019    20.041    6.827  3.602  0.00627    2.500000      20000 
