 N           node   position  sizeX  sizeY  sizeZ  sizeZdeg  sizeXP  sizeYP sizedE  eKin Nparts  xMax yMax zMax
    33           MEBT:MEBT_Mag:QH03:2:drift  0.46650    2.380  1.525   3.154    20.935    8.779  4.097  0.02841    2.500000       2000      5.752457   4.196536    7.319006 
    34           MEBT:MEBT_Mag:QH03:3:drift  0.47550    2.303  1.558   3.205    21.272    8.680  4.191  0.02887    2.500000       2000      5.573719   4.269956    7.437234 
    35           MEBT:MEBT_Mag:QH03:4:drift  0.48450    2.226  1.592   3.255    21.609    8.680  4.191  0.02887    2.500000       2000      5.394981   4.343376    7.555461 
    36           MEBT:MEBT_Mag:QH03:5:drift  0.49350    2.149  1.626   3.306    21.946    8.680  4.191  0.02887    2.500000       2000      5.216243   4.416796    7.673689 
    37           MEBT:MEBT_Mag:QH03:6:drift  0.50250    2.073  1.661   3.358    22.288    8.579  4.287  0.02931    2.500000       2000      5.039106   4.492666    7.793474 
    38           MEBT:MEBT_Mag:QH03:7:drift  0.51150    1.998  1.696   3.409    22.631    8.579  4.287  0.02931    2.500000       2000      4.861968   4.568536    7.913260 
    39           MEBT:MEBT_Mag:QH03:8:drift  0.52050    1.922  1.731   3.461    22.974    8.579  4.287  0.02931    2.500000       2000      4.684830   4.644406    8.033045 
    40                  MEBT_RF:Bnch01:Rg01  0.53550    1.809  1.802   3.505    23.264    6.991  5.733  0.00539    2.500000       2000      4.422593   4.806256    8.141297 
    41     MEBT:MEBT_RF:Bnch01:Rg01:1:drift  0.54450    1.749  1.852   3.505    23.265    6.991  5.733  0.00539    2.500000       2000      4.290181   4.922393    8.150119 
    42     MEBT:MEBT_RF:Bnch01:Rg01:2:drift  0.55350    1.689  1.902   3.506    23.271    6.890  5.834  0.00542    2.500000       2000      4.172938   5.040729    8.160456 
    43     MEBT:MEBT_RF:Bnch01:Rg01:3:drift  0.56250    1.630  1.953   3.507    23.277    6.890  5.834  0.00542    2.500000       2000      4.055695   5.172674    8.170792 
    44     MEBT:MEBT_RF:Bnch01:Rg01:4:drift  0.57150    1.571  2.003   3.508    23.283    6.890  5.834  0.00542    2.500000       2000      3.938452   5.306027    8.181129 
    45     MEBT:MEBT_RF:Bnch01:Rg01:5:drift  0.58050    1.513  2.055   3.509    23.295    6.788  5.935  0.00549    2.500000       2000      3.822817   5.441238    8.192847 
    46     MEBT:MEBT_RF:Bnch01:Rg01:6:drift  0.58950    1.455  2.107   3.511    23.307    6.788  5.935  0.00549    2.500000       2000      3.707183   5.576448    8.204564 
    47     MEBT:MEBT_RF:Bnch01:Rg01:7:drift  0.59850    1.398  2.159   3.513    23.319    6.788  5.935  0.00549    2.500000       2000      3.591549   5.711659    8.216282 
    48     MEBT:MEBT_RF:Bnch01:Rg01:8:drift  0.60750    1.342  2.211   3.516    23.336    6.704  6.018  0.00558    2.500000       2000      3.477303   5.847920    8.229138 
    49                        MEBT_Mag:QV04  0.66850    1.144  2.278   3.539    23.493    2.962  3.996  0.00586    2.500000       2000      3.150735   5.990757    8.399176 
    50           MEBT:MEBT_Mag:QV04:1:drift  0.67837    1.141  2.242   3.545    23.530    2.945  3.887  0.00610    2.500000       2000      3.170472   5.893965    8.429819 
    51           MEBT:MEBT_Mag:QV04:2:drift  0.68824    1.140  2.206   3.550    23.567    2.945  3.887  0.00610    2.500000       2000      3.190209   5.800307    8.460462 
    52           MEBT:MEBT_Mag:QV04:3:drift  0.69811    1.139  2.170   3.556    23.605    2.945  3.887  0.00610    2.500000       2000      3.209947   5.706649    8.491105 
    53           MEBT:MEBT_Mag:QV04:4:drift  0.70798    1.140  2.135   3.563    23.650    2.943  3.774  0.00637    2.500000       2000      3.233850   5.614709    8.522944 
    54           MEBT:MEBT_Mag:QV04:5:drift  0.71785    1.141  2.101   3.570    23.695    2.943  3.774  0.00637    2.500000       2000      3.257753   5.522769    8.554783 
    55           MEBT:MEBT_Mag:QV04:6:drift  0.72773    1.144  2.067   3.576    23.740    2.943  3.774  0.00637    2.500000       2000      3.281656   5.430828    8.586622 
    56           MEBT:MEBT_Mag:QV04:7:drift  0.73760    1.149  2.034   3.584    23.792    2.954  3.659  0.00669    2.500000       2000      3.307703   5.340667    8.619753 
    57           MEBT:MEBT_Mag:QV04:8:drift  0.74747    1.154  2.001   3.592    23.845    2.954  3.659  0.00669    2.500000       2000      3.333750   5.250505    8.652883 
    58           MEBT:MEBT_Mag:QV04:9:drift  0.75734    1.160  1.968   3.600    23.897    2.954  3.659  0.00669    2.500000       2000      3.359798   5.160344    8.686014 
    59          MEBT:MEBT_Mag:QV04:10:drift  0.76721    1.168  1.937   3.609    23.957    2.982  3.541  0.00704    2.500000       2000      3.390442   5.072635    8.720182 
    60          MEBT:MEBT_Mag:QV04:11:drift  0.77708    1.177  1.905   3.618    24.018    2.982  3.541  0.00704    2.500000       2000      3.421087   4.984927    8.754350 
    61          MEBT:MEBT_Mag:QV04:12:drift  0.78695    1.186  1.874   3.627    24.078    2.982  3.541  0.00704    2.500000       2000      3.451732   4.897218    8.788517 
    62          MEBT:MEBT_Mag:QV04:13:drift  0.79682    1.197  1.845   3.638    24.146    3.027  3.424  0.00742    2.500000       2000      3.487012   4.811452    8.823970 
    63          MEBT:MEBT_Mag:QV04:14:drift  0.80669    1.209  1.815   3.648    24.214    3.027  3.424  0.00742    2.500000       2000      3.522293   4.725686    8.859423 
    64          MEBT:MEBT_Mag:QV04:15:drift  0.81656    1.222  1.786   3.658    24.282    3.027  3.424  0.00742    2.500000       2000      3.557574   4.639919    8.894876 
    65          MEBT:MEBT_Mag:QV04:16:drift  0.82644    1.237  1.758   3.669    24.358    3.086  3.307  0.00782    2.500000       2000      3.597004   4.556160    8.931562 
    66          MEBT:MEBT_Mag:QV04:17:drift  0.83631    1.252  1.730   3.681    24.433    3.086  3.307  0.00782    2.500000       2000      3.636433   4.472401    8.968249 
    67          MEBT:MEBT_Mag:QV04:18:drift  0.84618    1.268  1.703   3.692    24.509    3.086  3.307  0.00782    2.500000       2000      3.675863   4.388642    9.004935 
    68          MEBT:MEBT_Mag:QV04:19:drift  0.85605    1.285  1.677   3.705    24.593    3.160  3.193  0.00825    2.500000       2000      3.719396   4.308067    9.042536 
    69          MEBT:MEBT_Mag:QV04:20:drift  0.86592    1.303  1.651   3.717    24.676    3.160  3.193  0.00825    2.500000       2000      3.766592   4.227492    9.091056 
    70          MEBT:MEBT_Mag:QV04:21:drift  0.87579    1.322  1.626   3.730    24.760    3.160  3.193  0.00825    2.500000       2000      3.830298   4.146917    9.140166 
    71          MEBT:MEBT_Mag:QV04:22:drift  0.88566    1.343  1.602   3.744    24.851    3.242  3.082  0.00869    2.500000       2000      3.897608   4.068522    9.190975 
    72          MEBT:MEBT_Mag:QV04:23:drift  0.89553    1.364  1.578   3.758    24.942    3.242  3.082  0.00869    2.500000       2000      4.018361   3.990128    9.241784 
